,Date,Model,Count,Normalized Count,day,month,year
265,968,78,5,-0.2910219364571754,29,8,2016
266,968,72,9,-0.27832604398990807,29,8,2016
267,968,95,11,-0.27197809775627435,29,8,2016
268,968,59,5,-0.2910219364571754,29,8,2016
269,968,80,1,-0.30371782892444277,29,8,2016
270,968,77,1,-0.30371782892444277,29,8,2016
271,968,108,1,-0.30371782892444277,29,8,2016
272,968,52,30,-0.21167260853675443,29,8,2016
273,968,50,4,-0.2941959095739923,29,8,2016
274,968,115,10,-0.27515207087309124,29,8,2016
275,968,60,253,0.4961233965134006,29,8,2016
276,968,91,2,-0.30054385580762594,29,8,2016
277,968,41,22,-0.23706439347128916,29,8,2016
278,967,1,66,-0.09740957633134825,28,8,2016
279,967,20,17,-0.25293425905537337,28,8,2016
280,967,58,1,-0.30371782892444277,28,8,2016
281,967,117,5,-0.2910219364571754,28,8,2016
282,967,2,47,-0.1577150655508682,28,8,2016
283,967,86,33,-0.20215068918630394,28,8,2016
284,967,27,20,-0.24341233970492282,28,8,2016
285,967,43,754,2.0862839280386365,28,8,2016
286,967,96,42,-0.17358493113495238,28,8,2016
287,967,72,8,-0.2815000171067249,28,8,2016
288,967,109,2,-0.30054385580762594,28,8,2016
289,967,90,4,-0.2941959095739923,28,8,2016
290,967,123,1,-0.30371782892444277,28,8,2016
291,967,100,82,-0.04662600646227884,28,8,2016
292,967,41,22,-0.23706439347128916,28,8,2016
293,967,34,26,-0.2243685010040218,28,8,2016
294,967,44,756,2.0926318742722705,28,8,2016
295,967,6,1,-0.30371782892444277,28,8,2016
296,967,9,5,-0.2910219364571754,28,8,2016
297,967,93,2,-0.30054385580762594,28,8,2016
298,967,92,8,-0.2815000171067249,28,8,2016
299,967,62,71,-0.08153971074726406,28,8,2016
300,967,103,165,0.21681376223351878,28,8,2016
301,967,60,206,0.34694666002300917,28,8,2016
302,967,50,2,-0.30054385580762594,28,8,2016
303,967,48,49,-0.1513671193172345,28,8,2016
304,967,118,3,-0.2973698826908091,28,8,2016
305,967,26,2,-0.30054385580762594,28,8,2016
306,967,52,37,-0.18945479671903656,28,8,2016
307,967,88,62,-0.1101054687986156,28,8,2016
308,967,98,3,-0.2973698826908091,28,8,2016
309,967,84,6,-0.28784796334035856,28,8,2016
310,967,107,257,0.508819288980668,28,8,2016
311,967,112,6,-0.28784796334035856,28,8,2016
312,967,42,324,0.7214754878073961,28,8,2016
313,967,83,2,-0.30054385580762594,28,8,2016
314,967,120,23,-0.23389042035447233,28,8,2016
315,967,10,4,-0.2941959095739923,28,8,2016
316,967,106,49,-0.1513671193172345,28,8,2016
317,967,77,1,-0.30371782892444277,28,8,2016
318,967,80,1,-0.30371782892444277,28,8,2016
319,967,74,11,-0.27197809775627435,28,8,2016
320,967,12,101,0.0136794827572411,28,8,2016
321,967,39,2,-0.30054385580762594,28,8,2016
322,967,94,2,-0.30054385580762594,28,8,2016
323,967,66,4,-0.2941959095739923,28,8,2016
324,967,65,3,-0.2973698826908091,28,8,2016
325,967,32,15,-0.25928220528900703,28,8,2016
326,967,33,736,2.0291524119359337,28,8,2016
327,967,61,44,-0.1672369849013187,28,8,2016
328,967,119,1,-0.30371782892444277,28,8,2016
329,967,102,67,-0.09423560321453141,28,8,2016
330,967,15,21,-0.240238366588106,28,8,2016
331,967,37,2832,8.681800064784028,28,8,2016
332,967,51,30,-0.21167260853675443,28,8,2016
333,967,70,25,-0.22754247412083864,28,8,2016
334,967,40,330,0.7405193265082972,28,8,2016
335,967,108,2,-0.30054385580762594,28,8,2016
336,967,111,2,-0.30054385580762594,28,8,2016
337,967,46,2,-0.30054385580762594,28,8,2016
338,967,73,2,-0.30054385580762594,28,8,2016
339,967,114,26,-0.2243685010040218,28,8,2016
340,967,101,146,0.15650827301399883,28,8,2016
341,967,47,1,-0.30371782892444277,28,8,2016
342,967,45,705,1.9307592453146114,28,8,2016
343,967,105,1,-0.30371782892444277,28,8,2016
344,967,91,1,-0.30371782892444277,28,8,2016
345,967,82,3,-0.2973698826908091,28,8,2016
346,967,16,1,-0.30371782892444277,28,8,2016
347,967,36,53,-0.13867122684996716,28,8,2016
348,967,7,2,-0.30054385580762594,28,8,2016
349,967,11,11,-0.27197809775627435,28,8,2016
350,967,85,2,-0.30054385580762594,28,8,2016
351,967,110,4,-0.2941959095739923,28,8,2016
352,967,18,1,-0.30371782892444277,28,8,2016
353,967,24,1,-0.30371782892444277,28,8,2016
354,967,59,8,-0.2815000171067249,28,8,2016
355,967,99,8,-0.2815000171067249,28,8,2016
356,967,81,90,-0.021234221527744124,28,8,2016
357,967,38,243,0.46438366534523223,28,8,2016
